,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True
362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False
396,0,3,female,31.0,0,0,7.8542,S,Third,woman,False,,Southampton,no,True
503,0,3,female,37.0,0,0,9.5875,S,Third,woman,False,,Southampton,no,True
610,0,3,female,39.0,1,5,31.275,S,Third,woman,False,,Southampton,no,False
638,0,3,female,41.0,0,5,39.6875,S,Third,woman,False,,Southampton,no,False
657,0,3,female,32.0,1,1,15.5,Q,Third,woman,False,,Queenstown,no,False
678,0,3,female,43.0,1,6,46.9,S,Third,woman,False,,Southampton,no,False
736,0,3,female,48.0,1,3,34.375,S,Third,woman,False,,Southampton,no,False
767,0,3,female,30.5,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True
885,0,3,female,39.0,0,5,29.125,Q,Third,woman,False,,Queenstown,no,False
